Experiment	RNA editing site	Location	Gene	dFI	p-value	FDR
16HBE14o-mir1343-OE	chr19:46698500	ncRNA_intronic	"AC006262.5,AC007193.6"	-0.205128205	6.96E-08	6.99E-05
16HBE14o-mir1343-OE	chr2:132272119	ncRNA_intronic	AC093838.4	-0.364705882	4.57E-08	6.99E-05
16HBE14o-mir1343-OE	chr2:37328097	UTR3	EIF2AK2	0.111413043	6.97E-07	0.000380149
16HBE14o-mir1343-OE	chr20:25427815	UTR3	GINS1	0.080952381	0.000100922	0.015666816
16HBE14o-mir1343-OE	chr20:3849161	UTR3	MAVS	-0.36	9.94E-07	0.00048862
16HBE14o-mir1343-OE	chr20:3852861	intergenic	"MAVS,RP11-119B16.2"	0.066071429	0.00015378	0.020985927
16HBE14o-mir1343-OE	chr20:3853967	intergenic	"MAVS,RP11-119B16.2"	0.072640761	0.000543913	0.048614301
16HBE14o-mir1343-OE	chr20:3910035	UTR3	RNF24	0.344827586	9.24E-05	0.015099416
16HBE14o-mir1343-OE	chr20:48735434	intronic	"TMEM189,TMEM189-UBE2V1"	0.211111111	6.81E-06	0.002364468
16HBE14o-mir1343-OE	chr21:34730096	UTR3	IFNAR1	0.137065637	0.000128993	0.01811744
16HBE14o-mir1343-OE	chr21:45644519	UTR3	ICOSLG	0.185606061	0.000365236	0.037798721
16HBE14o-mir1343-OE	chr22:36057285	UTR3	APOL6	0.172364672	9.41E-05	0.015099416
16HBE14o-mir1343-OE	chr22:45251828	intronic	"ARHGAP8,PRR5-ARHGAP8"	0.338164251	7.11E-08	6.99E-05
16HBE14o-mir1343-OE	chr3:10193906	downstream	VHL	0.199259259	0.000121525	0.017484805
16HBE14o-mir1343-OE	chr3:121552736	intronic	IQCB1	0.297619048	3.93E-06	0.001545142
16HBE14o-mir1343-OE	chr3:15113847	UTR3	ZFYVE20	0.261363636	9.47E-05	0.015099416
16HBE14o-mir1343-OE	chr4:153544137	UTR3	TMEM154	0.256578947	0.000218912	0.026026457
16HBE14o-mir1343-OE	chr4:153544206	UTR3	TMEM154	0.120261438	0.000507866	0.047553951
16HBE14o-mir1343-OE	chr4:153545033	UTR3	TMEM154	0.416879795	9.91E-08	8.35E-05
16HBE14o-mir1343-OE	chr4:17803604	UTR3	DCAF16	0.168074324	0.000288245	0.032673471
16HBE14o-mir1343-OE	chr6:159395365	UTR3	RSPH3	-0.134551495	0.000156532	0.020985927
16HBE14o-mir1343-OE	chr7:152339525	intergenic	"SNORA26,XRCC2"	0.25974026	0.00020523	0.025221886
16HBE14o-mir1343-OE	chr7:156764180	UTR3	NOM1	-0.149825784	0.000416317	0.040930864
16HBE14o-mir1343-OE	chr7:20178567	UTR3	MACC1	0.13255814	0.000241791	0.027967131
16HBE14o-mir1343-OE	chr7:65618786	ncRNA_intronic	RP5-1132H15.1	-0.104824561	9.16E-05	0.015099416
16HBE14o-mir1343-OE	chr8:23046025	upstream	RP11-1149O23.2	0.126315789	0.000180777	0.023182624
16HBE14o-mir1343-OE	chr8:41399796	ncRNA_intronic	"RP11-360L9.4,RP11-360L9.7"	-0.398190045	1.15E-08	3.38E-05
16HBE14o-mir1343-OE	chrX:118672672	UTR3	CXorf56	-0.10483871	0.000529637	0.048180739
16HBE14o-mir1343-OE	chrX:123047295	UTR3	XIAP	0.187882497	0.000220601	0.026026457
16HBE14o-mir1343-OE	chrX:46299263	intergenic	"RP1-30G7.2,KRBOX4"	0.383333333	1.22E-07	9.03E-05
16HBE14o-mir1343-OE	chrX:46464041	downstream	SLC9A7	0.275121275	7.09E-07	0.000380149
16HBE14o-mir1343-OE	chrX:54587352	UTR3	GNL3L	0.212121212	1.83E-05	0.005447689
16HBE14o-mir1343-OE	chrX:84346345	downstream	SATL1	-0.200483092	0.000112017	0.016943297
16HBE14o-mir1343-OE	chrX:84346796	downstream	SATL1	-0.282051282	2.01E-05	0.005447689
16HBE14o-mir1343-OE	chrX:84346797	downstream	SATL1	-0.4048583	2.06E-05	0.005447689
293T-mir941-OE	chr1:16949178	ncRNA_intronic	CROCCP2	-0.285714286	2.81E-05	0.012068144
293T-mir941-OE	chr1:38326728	ncRNA_exonic	RP11-109P14.10	-0.25	0.000299697	0.04294553
293T-mir941-OE	chr1:85489842	intronic	"MCOLN3,WDR63"	-0.292270531	7.59E-05	0.019971339
293T-mir941-OE	chr12:27576447	ncRNA_intronic	RP11-165P7.1	-0.185714286	0.000220946	0.040571927
293T-mir941-OE	chr12:57124561	downstream	PRIM1	0.338888889	0.000241187	0.040571927
293T-mir941-OE	chr12:79996948	intronic	PAWR	0.525	1.30E-06	0.001670134
293T-mir941-OE	chr12:79996949	intronic	PAWR	0.275	0.000361901	0.048282573
293T-mir941-OE	chr15:40955102	UTR3	CASC5	-0.315789474	0.000273755	0.041181923
293T-mir941-OE	chr17:57280649	ncRNA_intronic	CTD-2510F5.4	-0.3	0.000255033	0.041113432
293T-mir941-OE	chr17:79530063	UTR3	NPLOC4	-0.394871795	6.62E-05	0.019971339
293T-mir941-OE	chr18:32827735	intronic	ZNF397	-0.361111111	3.39E-05	0.013105541
293T-mir941-OE	chr18:56420565	ncRNA_exonic	RP11-108P20.1	0.266233766	0.000276746	0.041181923
293T-mir941-OE	chr19:13884418	ncRNA_exonic	CTB-5E10.3	-0.370629371	9.82E-05	0.02302225
293T-mir941-OE	chr19:1459302	ncRNA_intronic	CTB-25B13.12	-0.454545455	0.000106025	0.02302225
293T-mir941-OE	chr19:40537261	UTR3	ZNF780B	0.303571429	0.000382713	0.048486672
293T-mir941-OE	chr19:53121455	intronic	ZNF83	0.388235294	0.000142698	0.029057786
293T-mir941-OE	chr2:75895278	intronic	"GCFC2,MRPL19"	-0.283076923	7.74E-05	0.019971339
293T-mir941-OE	chr2:96495864	intergenic	"LINC00342,ANKRD36C"	-0.5	9.29E-06	0.006429514
293T-mir941-OE	chr2:96496466	intergenic	"LINC00342,ANKRD36C"	0.516666667	1.69E-05	0.009318834
293T-mir941-OE	chr2:96496491	intergenic	"LINC00342,ANKRD36C"	0.3375	0.000107108	0.02302225
293T-mir941-OE	chr20:19999024	intronic	NAA20	0.423076923	2.65E-05	0.012068144
293T-mir941-OE	chr20:5980697	intergenic	"MCM8,RN7SL498P"	-0.525641026	9.29E-06	0.006429514
293T-mir941-OE	chr21:34637088	ncRNA_exonic	IL10RB-AS1	-0.259259259	0.000395877	0.048486672
293T-mir941-OE	chr4:772527	ncRNA_intronic	RP11-440L14.1	0.615384615	1.02E-07	0.000197082
293T-mir941-OE	chr6:46625094	intronic	SLC25A27	0.416666667	0.000401027	0.048486672
293T-mir941-OE	chr7:102097555	UTR3	ALKBH4	-0.362745098	0.000235026	0.040571927
293T-mir941-OE	chr7:44035230	ncRNA_intronic	"POLR2J4,RP5-1165K10.2"	0.368421053	7.14E-05	0.019971339
293T-mir941-OE	chr9:33589793	ncRNA_intronic	RP11-255A11.21	0.65	9.93E-08	0.000197082
293T-mir941-OE	chr9:99901133	intergenic	"RP11-520B13.4,RNU6-798P"	-0.409090909	0.000174546	0.033765831
293T-mir941-OE	chrX:100419421	downstream	CENPI	-0.166666667	0.000313804	0.043360973
293T-mir941-OE	chrX:100598421	intergenic	"RNU6-934P,TIMM8A"	0.409090909	7.14E-05	0.019971339
293T-mir941-OE	chrX:54591021	intergenic	"GNL3L,ITIH6"	-0.525641026	9.97E-06	0.006429514
A2780-mir181a-OE	chr1:6273395	intronic	RNF207	-0.646153846	2.09E-05	0.035777927
A2780-mir181a-OE	chr11:18625941	ncRNA_intronic	SPTY2D1-AS1	-0.595959596	3.54E-06	0.019521819
A2780-mir181a-OE	chr13:20247023	UTR3	MPHOSPH8	0.305597723	2.63E-05	0.036174762
A2780-mir181a-OE	chr15:64653646	intronic	CTD-2116N17.1	-0.411319073	1.03E-06	0.011327844
A2780-mir181a-OE	chr16:57210949	intronic	FAM192A	-0.580952381	1.67E-05	0.035777927
A2780-mir181a-OE	chr6:42855962	UTR3	RPL7L1	0.228556626	2.23E-05	0.035777927
A2780-mir181a-OE	chr7:100222454	intronic	TFR2	0.416666667	1.49E-05	0.035777927
A2780-mir181a-OE	chrX:100418858	downstream	CENPI	0.534722222	2.27E-05	0.035777927
A549-mir1343-OE	chr1:10517313	UTR3	DFFA	0.184210526	0.000121701	0.01129605
A549-mir1343-OE	chr1:10519982	UTR3	DFFA	0.128205128	0.001188241	0.044818729
A549-mir1343-OE	chr1:145369709	UTR3	NBPF10	-0.33201581	0.000137233	0.01200041
A549-mir1343-OE	chr1:155720655	intronic	GON4L	-0.360671937	0.001345017	0.047765649
A549-mir1343-OE	chr1:15899691	UTR3	AGMAT	0.255681818	0.000418995	0.023766314
A549-mir1343-OE	chr1:179042482	UTR3	FAM20B	0.362745098	1.97E-05	0.004020196
A549-mir1343-OE	chr1:179042616	UTR3	FAM20B	0.263586957	0.00067421	0.031649128
A549-mir1343-OE	chr1:179042701	UTR3	FAM20B	0.325757576	1.81E-06	0.000921811
A549-mir1343-OE	chr1:19543457	ncRNA_intronic	RP1-43E13.2	0.369087838	0.000215627	0.016057161
A549-mir1343-OE	chr1:201487087	ncRNA_intronic	RP11-134G8.7	0.153333333	0.001052786	0.042995779
A549-mir1343-OE	chr1:201968197	intronic	RNPEP	0.280701754	0.000968469	0.040905154
A549-mir1343-OE	chr1:204525666	UTR3	MDM4	0.163602941	0.001164895	0.044461967
A549-mir1343-OE	chr1:207942336	intronic	CD46	0.380184332	8.57E-07	0.000775571
A549-mir1343-OE	chr1:28661576	UTR3	MED18	0.163793103	0.001231809	0.045321694
A549-mir1343-OE	chr1:53289547	UTR3	ZYG11B	0.291497976	0.000438751	0.024545993
A549-mir1343-OE	chr1:6282224	UTR3	ICMT	0.454545455	1.04E-06	0.000775571
A549-mir1343-OE	chr1:6283260	UTR3	ICMT	0.096296296	0.000750171	0.034041079
A549-mir1343-OE	chr10:49254846	intergenic	"RNA5SP315,RP11-13E1.5"	0.360576923	2.75E-05	0.004495574
A549-mir1343-OE	chr10:51733234	ncRNA_intronic	LINC00843	0.108571429	0.000545332	0.027160178
A549-mir1343-OE	chr11:125526139	UTR3	CHEK1	0.231746032	2.22E-05	0.00411295
A549-mir1343-OE	chr11:31452835	UTR3	DNAJC24	0.301176471	1.28E-06	0.000775571
A549-mir1343-OE	chr11:65544567	UTR3	AP5B1	0.365079365	1.02E-05	0.002678422
A549-mir1343-OE	chr11:768312	UTR3	PDDC1	0.200854701	0.000490261	0.025669556
A549-mir1343-OE	chr11:8994423	ncRNA_intronic	TMEM9B-AS1	0.266666667	0.001414637	0.048922323
A549-mir1343-OE	chr11:8997579	ncRNA_intronic	TMEM9B-AS1	0.375757576	8.60E-05	0.009760307
A549-mir1343-OE	chr12:113828925	intergenic	"PLBD2,SDS"	0.176504968	0.000216245	0.016057161
A549-mir1343-OE	chr12:122215058	UTR3	TMEM120B	0.125146199	0.000909359	0.039092847
A549-mir1343-OE	chr12:124007203	intronic	RILPL1	0.290441176	0.000466876	0.025598295
A549-mir1343-OE	chr12:27574434	ncRNA_intronic	RP11-165P7.1	0.317813765	1.32E-05	0.003168785
A549-mir1343-OE	chr12:47652296	ncRNA_intronic	RP11-493L12.3	-0.4	2.63E-05	0.004481536
A549-mir1343-OE	chr12:64537448	UTR3	SRGAP1	-0.155080214	0.000340039	0.020797164
A549-mir1343-OE	chr13:21949107	intergenic	"RNA5SP25,ZDHHC20"	0.321171171	0.000193549	0.014914205
A549-mir1343-OE	chr14:101933847	intergenic	"RP11-1029J19.2,DIO3OS"	0.222222222	0.001358676	0.047834758
A549-mir1343-OE	chr14:101933907	intergenic	"RP11-1029J19.2,DIO3OS"	0.31043956	9.98E-06	0.002678422
A549-mir1343-OE	chr14:31563681	downstream	AP4S1	0.346153846	0.000482632	0.025598295
A549-mir1343-OE	chr14:74165276	ncRNA_exonic	RP4-693M11.3	0.364705882	0.001227943	0.045321694
A549-mir1343-OE	chr14:75202402	UTR3	FCF1	0.36	0.001111895	0.043841635
A549-mir1343-OE	chr15:50652843	ncRNA_intronic	GABPB1-AS1	-0.56937799	4.19E-08	0.000171188
A549-mir1343-OE	chr15:90444685	UTR3	C15orf38	0.299107143	0.000260195	0.017420251
A549-mir1343-OE	chr16:30932699	ncRNA_exonic	FBXL19-AS1	0.366071429	0.000406643	0.023724719
A549-mir1343-OE	chr16:48387175	UTR3	LONP2	0.196581197	0.000176194	0.014391555
A549-mir1343-OE	chr16:48387354	UTR3	LONP2	0.263122924	3.19E-05	0.005011259
A549-mir1343-OE	chr16:50139140	ncRNA_intronic	RP11-429P3.5	0.238181818	0.000479649	0.025598295
A549-mir1343-OE	chr16:50139563	ncRNA_intronic	RP11-429P3.5	0.175675676	0.000341188	0.020797164
A549-mir1343-OE	chr16:56974612	ncRNA_intronic	RP11-325K4.3	0.195564516	0.000169812	0.014153284
A549-mir1343-OE	chr16:57852466	intergenic	"CTD-2600O9.1,RNU6-20P"	0.379807692	0.000545219	0.027160178
A549-mir1343-OE	chr16:81064233	ncRNA_intronic	RP11-303E16.3	0.118357488	0.001083708	0.043390819
A549-mir1343-OE	chr17:16250238	intronic	"CENPV,PIGL"	-0.442307692	0.000238001	0.017205739
A549-mir1343-OE	chr17:18629897	intronic	TRIM16L	-0.3	0.001160501	0.044461967
A549-mir1343-OE	chr17:35838015	UTR3	TADA2A	-0.178649237	0.000530839	0.027099346
A549-mir1343-OE	chr17:42877235	UTR3	GJC1	0.297979798	0.000240629	0.017205739
A549-mir1343-OE	chr17:49041786	UTR3	SPAG9	-0.242424242	0.00128559	0.046878121
A549-mir1343-OE	chr17:49042278	UTR3	SPAG9	0.401709402	7.56E-05	0.009161528
A549-mir1343-OE	chr17:73940918	ncRNA_intronic	RP11-552F3.13	0.344129555	0.000578497	0.02812597
A549-mir1343-OE	chr19:13884199	ncRNA_exonic	CTB-5E10.3	0.196153846	4.62E-05	0.006689445
A549-mir1343-OE	chr19:15772022	UTR3	CYP4F3	0.16330859	0.000971547	0.040905154
A549-mir1343-OE	chr19:1587538	intronic	"MBD3,UQCR11"	-0.3775	1.72E-07	0.000351059
A549-mir1343-OE	chr19:16661491	UTR3	SLC35E1	0.189147287	2.57E-06	0.001165877
A549-mir1343-OE	chr19:36261208	ncRNA_intronic	AC002398.13	0.20043573	0.001384772	0.048336831
A549-mir1343-OE	chr19:36261578	ncRNA_intronic	AC002398.13	-0.377926421	0.001331179	0.047688914
A549-mir1343-OE	chr19:37037174	UTR3	ZNF529	0.27090301	7.27E-05	0.009161528
A549-mir1343-OE	chr19:39982430	intergenic	"TIMM50,DLL3"	0.219607843	0.000103599	0.010234584
A549-mir1343-OE	chr19:39982591	intergenic	"TIMM50,DLL3"	0.220238095	0.001116437	0.043841635
A549-mir1343-OE	chr19:40537257	UTR3	ZNF780B	0.23923445	0.000285949	0.018835745
A549-mir1343-OE	chr19:45167091	ncRNA_intronic	CTB-171A8.1	-0.353194103	0.001015125	0.042195292
A549-mir1343-OE	chr19:46052975	UTR3	OPA3	0.226107226	0.000138105	0.01200041
A549-mir1343-OE	chr19:58355620	intronic	"CTD-2583A14.10,ZNF587B"	-0.369230769	0.000297906	0.019126618
A549-mir1343-OE	chr19:58357271	UTR3	ZNF587B	0.255681818	0.000414968	0.023766314
A549-mir1343-OE	chr2:114467639	intergenic	"AC017074.2,SLC35F5"	0.4125	0.000738026	0.033866274
A549-mir1343-OE	chr2:128951904	UTR3	UGGT1	0.15374677	0.000303416	0.019126618
A549-mir1343-OE	chr2:128952024	UTR3	UGGT1	0.319444444	2.46E-05	0.004363352
A549-mir1343-OE	chr2:201754974	intronic	NIF3L1	0.270833333	0.000245893	0.017205739
A549-mir1343-OE	chr2:202152106	UTR3	CASP8	0.217171717	9.95E-05	0.010234584
A549-mir1343-OE	chr2:206986926	ncRNA_exonic	AC007383.4	-0.210784314	0.000877183	0.038110818
A549-mir1343-OE	chr2:224620992	intronic	AP1S3	0.213362069	0.000104867	0.010234584
A549-mir1343-OE	chr2:86252222	UTR3	POLR1A	0.294736842	7.33E-05	0.009161528
A549-mir1343-OE	chr2:99812857	UTR3	"C2orf15,MRPL30"	-0.275814276	9.35E-05	0.010234584
A549-mir1343-OE	chr20:299483	intergenic	"ZCCHC3,RP5-1103G7.4"	0.4	0.000180992	0.014493545
A549-mir1343-OE	chr20:3850435	intergenic	"MAVS,RP11-119B16.2"	0.17016317	0.000471753	0.025598295
A549-mir1343-OE	chr20:3909578	UTR3	RNF24	0.327731092	9.71E-05	0.010234584
A549-mir1343-OE	chr22:18571419	UTR3	PEX26	0.519736842	3.15E-07	0.000428867
A549-mir1343-OE	chr22:18572730	UTR3	PEX26	0.347985348	7.85E-05	0.009161528
A549-mir1343-OE	chr3:14986138	ncRNA_exonic	FGD5-AS1	0.155701754	0.000514225	0.026583493
A549-mir1343-OE	chr3:15451903	intronic	METTL6	0.256916996	0.000252778	0.017205739
A549-mir1343-OE	chr3:44791397	UTR3	KIAA1143	0.363636364	0.000159513	0.013571881
A549-mir1343-OE	chr4:57326291	UTR3	PAICS	0.146453412	2.21E-05	0.00411295
A549-mir1343-OE	chr4:73923449	UTR3	COX18	0.206410256	5.77E-06	0.002355065
A549-mir1343-OE	chr5:121362874	UTR3	SRFBP1	0.188292683	1.76E-05	0.003777038
A549-mir1343-OE	chr5:132029860	ncRNA_intronic	AC004237.1	0.205754141	7.85E-05	0.009161528
A549-mir1343-OE	chr5:180262080	ncRNA_exonic	LINC00847	0.4525	9.07E-06	0.002678422
A549-mir1343-OE	chr5:37290492	UTR3	NUP155	0.250733138	0.000109667	0.010415817
A549-mir1343-OE	chr5:74040913	intronic	GFM2	0.284090909	1.46E-05	0.003321068
A549-mir1343-OE	chr5:79776612	intergenic	"ZFYVE16,CTD-2015H6.3"	0.282352941	0.000191737	0.014914205
A549-mir1343-OE	chr5:79923990	UTR3	DHFR	0.166429587	0.000801253	0.035959538
A549-mir1343-OE	chr6:150046734	UTR3	NUP43	0.129259694	0.00119619	0.044818729
A549-mir1343-OE	chr6:159394487	UTR3	RSPH3	0.4	0.000833982	0.036623468
A549-mir1343-OE	chr6:63987867	UTR3	LGSN	0.179487179	0.000823759	0.036567729
A549-mir1343-OE	chr6:71298643	UTR3	C6orf57	0.460606061	1.05E-05	0.002678422
A549-mir1343-OE	chr6:71298929	UTR3	C6orf57	-0.208333333	0.000552136	0.02716774
A549-mir1343-OE	chr7:102185936	intronic	RP11-514P8.7	0.203703704	0.000612917	0.029448867
A549-mir1343-OE	chr7:44872437	intronic	H2AFV	0.133333333	0.001134641	0.044132137
A549-mir1343-OE	chr7:73248573	downstream	WBSCR27	0.328571429	8.66E-06	0.002678422
A549-mir1343-OE	chr7:99172900	UTR3	ZNF655	0.391608392	0.000105253	0.010234584
A549-mir1343-OE	chr7:99716236	ncRNA_intronic	RP11-506M12.1	-0.5	3.75E-05	0.005667776
A549-mir1343-OE	chr7:99810493	intronic	"GATS,STAG3"	0.258918919	9.04E-06	0.002678422
A549-mir1343-OE	chr8:23046319	upstream	RP11-1149O23.2	0.355263158	0.001081667	0.043390819
A549-mir1343-OE	chr8:41399823	ncRNA_intronic	"RP11-360L9.4,RP11-360L9.7"	0.318181818	4.75E-05	0.006689445
A549-mir1343-OE	chr8:96258302	UTR3	C8orf37	0.461538462	1.33E-06	0.000775571
A549-mir1343-OE	chr8:98741390	downstream	MTDH	0.082497213	0.001425504	0.048922323
A549-mir1343-OE	chr9:130554684	intergenic	"CDK9,FPGS"	-0.218181818	0.000735738	0.033866274
A549-mir1343-OE	chr9:130991755	intronic	DNM1	0.225862069	0.000356244	0.021395575
A549-mir1343-OE	chr9:131069762	intergenic	"RP11-339B21.14,TRUB2"	0.255681818	0.001328364	0.047688914
A549-mir1343-OE	chr9:131089952	intronic	COQ4	0.336363636	6.74E-05	0.009161528
A549-mir1343-OE	chrX:123043061	UTR3	XIAP	0.194444444	0.000250076	0.017205739
A549-mir1343-OE	chrX:123043064	UTR3	XIAP	-0.340659341	0.000304415	0.019126618
A549-mir1343-OE	chrX:2824385	UTR3	ARSD	-0.158544955	0.000385212	0.022800099
A549-mir1343-OE	chrX:54589730	intergenic	"GNL3L,ITIH6"	0.235	0.000631873	0.03000664
A549-mir1343-OE	chrX:73416963	intergenic	"RP13-36G14.4,RP3-368A4.5"	0.153043478	0.001022854	0.042195292
A549-mir1343-OE	chrX:73428531	ncRNA_intronic	RP3-368A4.5	0.262820513	0.000126362	0.011468088
AG09319-mir9-OE	chr1:150585608	intronic	ENSA	0.628959276	3.06E-06	0.021749918
AG09319-mir9-OE	chr12:9811336	ncRNA_intronic	RP11-705C15.3	-0.467368421	2.76E-06	0.021749918
AG09319-mir9-OE	chr2:39009355	UTR3	GEMIN6	0.751515152	7.40E-08	0.001576636
BeWo-mir371a-5p-KD	chr12:64844071	UTR3	XPOT	-0.256190476	8.17E-05	0.049152196
BeWo-mir371a-5p-KD	chr14:35745458	intronic	KIAA0391	0.542028986	8.58E-05	0.049152196
BeWo-mir371a-5p-KD	chr14:64950616	UTR3	ZBTB25	-0.538461538	2.59E-05	0.046615296
BeWo-mir371a-5p-KD	chr14:92585266	UTR5	NDUFB1	-0.418403812	1.34E-05	0.042082395
BeWo-mir371a-5p-KD	chr15:50661775	intergenic	"GABPB1-AS1,USP8"	-0.444805195	2.53E-05	0.046615296
BeWo-mir371a-5p-KD	chr16:29942559	intergenic	"CTD-2574D22.2,TMEM219"	-0.4	7.03E-05	0.049152196
BeWo-mir371a-5p-KD	chr17:42877711	UTR3	GJC1	-0.594771242	7.48E-05	0.049152196
BeWo-mir371a-5p-KD	chr17:73095680	intronic	SLC16A5	0.5	4.18E-05	0.04805288
BeWo-mir371a-5p-KD	chr17:79528188	intronic	NPLOC4	-0.520979021	6.75E-05	0.049152196
BeWo-mir371a-5p-KD	chr19:10820004	intronic	QTRT1	0.818181818	2.62E-07	0.003300292
BeWo-mir371a-5p-KD	chr19:39358724	UTR3	RINL	0.55165692	8.53E-05	0.049152196
BeWo-mir371a-5p-KD	chr19:52535209	UTR3	ZNF432	0.595238095	6.69E-05	0.049152196
BeWo-mir371a-5p-KD	chr20:3853005	intergenic	"MAVS,RP11-119B16.2"	-0.4	5.74E-05	0.049152196
BeWo-mir371a-5p-KD	chr22:41327527	UTR3	XPNPEP3	-0.454545455	8.46E-06	0.035558956
BeWo-mir371a-5p-KD	chr3:125626686	downstream	RP11-666A20.4	-0.464653397	4.19E-05	0.04805288
BeWo-mir371a-5p-KD	chr3:48787909	UTR3	PRKAR2A	-0.692307692	8.52E-07	0.005371731
BeWo-mir371a-5p-KD	chr3:56604587	UTR3	CCDC66	0.454545455	3.99E-05	0.04805288
BeWo-mir371a-5p-KD	chr4:188925324	UTR3	ZFP42	0.150517823	3.93E-05	0.04805288
BeWo-mir371a-5p-KD	chr5:130538338	UTR3	LYRM7	-0.470588235	8.17E-05	0.049152196
BeWo-mir371a-5p-KD	chr6:159395415	UTR3	RSPH3	0.569078947	5.08E-05	0.049152196
BeWo-mir371a-5p-KD	chr6:42856116	UTR3	RPL7L1	-0.323853362	6.75E-05	0.049152196
BeWo-mir371a-5p-KD	chr7:66739137	intergenic	"TYW1,PMS2P4"	-0.651785714	1.81E-05	0.045740919
BeWo-mir518a-3p-KD	chr1:10517313	UTR3	DFFA	-0.254545455	0.000572725	0.041353153
BeWo-mir518a-3p-KD	chr1:10518052	UTR3	DFFA	-0.294090056	0.000687343	0.044932523
BeWo-mir518a-3p-KD	chr1:109606156	downstream	TAF13	-0.236068896	0.000279795	0.028864801
BeWo-mir518a-3p-KD	chr1:109606173	downstream	TAF13	-0.154746334	0.000668237	0.044120345
BeWo-mir518a-3p-KD	chr1:109606337	downstream	TAF13	-0.192328068	6.77E-07	0.000849902
BeWo-mir518a-3p-KD	chr1:145369556	UTR3	NBPF10	-0.167323481	0.000312222	0.031233993
BeWo-mir518a-3p-KD	chr1:145689717	UTR3	RNF115	-0.471659919	0.000332537	0.031921315
BeWo-mir518a-3p-KD	chr1:150281532	downstream	MRPS21	-0.614285714	0.000390771	0.033971217
BeWo-mir518a-3p-KD	chr1:155695969	intronic	"DAP3,MSTO1"	0.595652174	0.00025919	0.028014686
