Unique_ID	Ref_MFE	Edit_MFE	deltaG	EditSite_Changed	SpliceStart_Changed	SpliceEnd_Changed
1127|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1128|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1129|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
112|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
1130|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1131|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1132|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1133|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1134|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1135|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1136|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1137|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1138|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1139|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
113|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1140|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1141|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1142|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1143|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1144|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1145|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1146|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1147|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1148|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1149|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
114|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1150|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1151|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1152|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1153|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1154|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1155|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1156|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1157|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1158|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1159|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
115|chr10_35321030|35321030|35316409|35320	-89.6	-89.2	0.4	0	NA	NA
1160|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1161|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1162|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1163|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1164|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1165|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1166|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1167|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1168|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1169|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
116|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
1170|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1171|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1172|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1173|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1174|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1175|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1176|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1177|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1178|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1179|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
117|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1180|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1181|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1182|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1183|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1184|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1185|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1186|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1187|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1188|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1189|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
118|chr10_35321030|35321030|35316409|35320	-89.6	-89.2	0.4	0	NA	NA
1190|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1191|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1192|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1193|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1194|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1195|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1196|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1197|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1198|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1199|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
119|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
11|chr10_35321030|35321030|35299259|353208	-89.6	-89.2	0.4	0	NA	NA
1200|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1201|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1202|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1203|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1204|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1205|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1206|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1207|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1208|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1209|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
120|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1210|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1211|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1212|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1213|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1214|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1215|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1216|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1217|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1218|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1219|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
121|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1220|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1221|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1222|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1223|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1224|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1225|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1226|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1227|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1228|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1229|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
122|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1230|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1231|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1232|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1233|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1234|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1235|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1236|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1237|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1238|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1239|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
123|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
1240|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1241|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1242|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1243|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1244|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1245|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1246|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1247|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1248|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1249|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
124|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1250|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1251|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1252|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1253|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1254|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1255|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1256|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1257|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1258|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1259|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
125|chr10_35321030|35321030|35316409|35320	-89.6	-89.2	0.4	0	NA	NA
1260|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1261|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1262|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1263|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1264|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1265|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1266|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1267|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1268|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1269|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
126|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
1270|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1271|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1272|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1273|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1274|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1275|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1276|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1277|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1278|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1279|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
127|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1280|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1281|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1282|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1283|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1284|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
1285|chr10_73249207|73249207|73249318|7325	-89.3	-89.5	-0.2	0	0	NA
