edsite	chr	pos	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP.H4.abf	repeat_element	genomic_annotation	gene_name
chr9_109132084	9	109132084	171	0.0129567714002442	0.0664402990392389	0.0634210829079552	0.324680901656015	0.532500944996546	0.532500944996546	SINE/AluYm1	UTR3	FRRS1L
chr16_88675689	16	88675689	133	4.60335462995252e-05	1.03834968799023e-06	0.460625013492004	0.00986056073406996	0.529467353877939	0.529467353877939	SINE/AluJb	ncRNA_intronic	SNAI3-AS1
chr16_88683830	16	88683830	134	0.220795596171048	0.00502965781845699	0.303569282830025	0.0064510633096644	0.464154399870806	0.464154399870806	SINE/AluSq2	ncRNA_intronic	SNAI3-AS1
chr16_88683833	16	88683833	134	0.00591957542142791	0.000134846162317774	0.519638571137595	0.0113742789163359	0.462932728362324	0.462932728362324	SINE/AluSq2	ncRNA_intronic	SNAI3-AS1
chr9_109136782	9	109136782	171	0.0322023220019968	0.164834058656044	0.0650288438968644	0.332457732901317	0.405477042543777	0.405477042543777	SINE/AluSx	UTR3	FRRS1L
chr22_32501239	22	32501239	128	0.090829498933395	0.00131224431805047	0.519683882010853	0.00712700044452418	0.381047374293177	0.381047374293177	SINE/AluY	intergenic	FBXO7;SYN3
chr4_70798105	4	70798105	135	0.277622442588157	0.0211123433658404	0.313345195065218	0.02346449464475	0.364455524336035	0.364455524336035	SINE/AluJo	intronic	RUFY3
chr5_151271988	5	151271988	253	1.9222482877712e-06	4.63123914751463e-08	0.643543986024606	0.0151635020486485	0.341290543366067	0.341290543366067	SINE/AluSx	intergenic	GM2A;SLC36A3
chr7_66709601	7	66709601	272	7.92598353665582e-06	0.625485088757259	6.0419551171257e-07	0.0473534006723515	0.327152980391341	0.327152980391341	SINE/AluSg	intronic	RABGEF1
chr8_4963337	8	4963337	278	0.0198500255978506	0.00058018724776436	0.679747718603255	0.019587798447861	0.280234270103269	0.280234270103269	SINE/AluSz	intronic	CSMD1
chr4_21878277	4	21878277	131	7.17149529424999e-24	2.57399500855219e-25	0.701709488426474	0.0249123976071954	0.273378113966331	0.273378113966331	SINE/AluSz	intronic	KCNIP4
chr4_70798186	4	70798186	136	0.000644960644923238	4.90966843391866e-05	0.675849532694847	0.0511757750389948	0.272280634936896	0.272280634936896	SINE/AluJo	intronic	RUFY3
chr9_109138661	9	109138661	171	0.0308531428832193	0.157772230663291	0.0883940369106027	0.451745093391505	0.271235496151382	0.271235496151382	SINE/AluJb	intronic	FRRS1L
chr4_21878255	4	21878255	131	0.032849725895449	0.00117904324018714	0.67947240214061	0.0241252680649474	0.262373560658807	0.262373560658807	SINE/AluSz	intronic	KCNIP4
chr12_121776900	12	121776900	81	1.82553228391455e-08	2.43158533748664e-10	0.735534136374584	0.00954229579863176	0.254923549328304	0.254923549328304	SINE/AluJr	UTR3	TMEM120B
chr13_19672883	13	19672883	11	0.00441991350757805	2.56358079969368e-05	0.745963905255276	0.00408113349974339	0.245509411929405	0.245509411929405	SINE/AluJb	UTR3	MPHOSPH8
chr12_121776917	12	121776917	81	3.41438654313833e-07	4.54791861418292e-09	0.751361730513469	0.00976917209873067	0.238868751401228	0.238868751401228	SINE/AluJr	UTR3	TMEM120B
chr13_19672884	13	19672884	11	0.0931004554315841	0.000539989163991421	0.681328697486888	0.0037304537742202	0.221300404143316	0.221300404143316	SINE/AluJb	UTR3	MPHOSPH8
chr15_56647610	15	56647610	70	0.0243674821249698	0.000302972315538797	0.762985450849845	0.00928349478486458	0.203060599924782	0.203060599924782	SINE/AluJb	intronic	ZNF280D
chr13_19672378	13	19672378	11	0.186326683100139	0.0010807078157687	0.607898469505628	0.00332448405613038	0.201369655522334	0.201369655522334	SINE/AluSp	UTR3	MPHOSPH8
chr2_75667103	2	75667103	202	1.93611374736873e-09	4.91244226368732e-11	0.782675108183719	0.0196609124383943	0.197663977392649	0.197663977392649	LTR/PABL_B	intronic	GCFC2
chr19_13773925	19	13773925	124	3.50200181069376e-05	9.67897132339077e-07	0.787153036696415	0.0215644008555731	0.191246574532772	0.191246574532772	SINE/AluSx1	UTR3	MRI1
chr8_4962470	8	4962470	277	5.09604081156282e-10	1.48514063109844e-11	0.786722611492114	0.0227369391168336	0.190540448866598	0.190540448866598	SINE/AluJr	intronic	CSMD1
chr9_109155885	9	109155885	173	0.0710326981137383	0.329594060875298	0.0726555861610756	0.336934531791179	0.189783123058709	0.189783123058709	LINE/L1MB8	intronic	FRRS1L
chr14_100851662	14	100851662	158	1.26139130537067e-05	1.7439501316169e-07	0.802011819060737	0.0109012265972115	0.187074166033984	0.187074166033984	-/-	ncRNA_exonic	MEG3
chr18_36174967	18	36174967	183	0.228267945362177	0.007342906102859	0.559878843862329	0.0178234537008937	0.186686850971741	0.186686850971741	SINE/AluSx	UTR3	ELP2
chr14_100851477	14	100851477	158	1.3405302215655e-07	1.85336449235203e-09	0.802647437654156	0.0109106467969082	0.186441779642549	0.186441779642549	-/-	ncRNA_exonic	MEG3
chr12_121776927	12	121776927	81	0.242833877371135	0.00323451576761224	0.560439697579986	0.00727877098270935	0.186213138298558	0.186213138298558	SINE/AluJr	UTR3	TMEM120B
chr8_4962429	8	4962429	277	0.0141598530184429	0.000412661001465221	0.778201388410387	0.0224944136338004	0.184731683935905	0.184731683935905	SINE/AluJr	intronic	CSMD1
chr16_7346552	16	7346552	237	5.05841034893025e-06	1.53342384510293e-07	0.794025399157645	0.0238882768994566	0.182081112190165	0.182081112190165	-/-	intronic	RBFOX1
chr9_109140359	9	109140359	170	0.130543329689213	0.667138860602576	0.00362324126778504	0.0183361376386107	0.180358430801816	0.180358430801816	SINE/AluJb	intronic	FRRS1L
chr1_225786970	1	225786970	199	3.05551662557475e-15	1.70178918995466e-16	0.778165213444538	0.0431617276168255	0.17867305893863	0.17867305893863	SINE/AluJo	UTR3	SRP9
chr19_13773928	19	13773928	124	2.29863100153536e-11	6.35304741390476e-13	0.799896459424269	0.0219296813360831	0.178173859216028	0.178173859216028	SINE/AluSx1	UTR3	MRI1
chr14_100846308	14	100846308	157	1.01816105126549e-08	1.3877098667244e-10	0.813238602003161	0.0109082403818997	0.175853147294559	0.175853147294559	-/-	ncRNA_exonic	MEG3
chr19_13773594	19	13773594	124	7.58936403884526e-05	2.09757849554636e-06	0.803045522183808	0.0220200337864225	0.174856452810886	0.174856452810886	SINE/AluJr	UTR3	MRI1
chr12_79775730	12	79775730	72	0.000537239358536527	6.22965747850068e-06	0.818403070904878	0.00931820760088748	0.171735252478219	0.171735252478219	NA	NA	NA
chr11_47536706	11	47536706	53	0.000331849922820836	2.86553201997732e-06	0.821850937426958	0.00692581396666131	0.170888533151539	0.170888533151539	SINE/AluSx	intronic	CELF1
chr10_79682856	10	79682856	168	0.00137096964721903	4.16195491999117e-05	0.80632492125967	0.0243102554341308	0.167952234109781	0.167952234109781	SINE/AluJb	upstream	BEND3P3
chr19_52064710	19	52064710	148	0.0951981749361334	0.00208389336175599	0.719511152075622	0.015582515005651	0.167624264620837	0.167624264620837	SINE/AluSx1	UTR3	ZNF841
chr2_75667089	2	75667089	202	0.000739996767790028	1.87757119230425e-05	0.812509381072414	0.020449269730822	0.166282576717051	0.166282576717051	LTR/PABL_B	intronic	GCFC2
chr14_73699556	14	73699556	64	0.0165139248383908	0.000315120750644673	0.807326154501911	0.0152448973557538	0.1605999025533	0.1605999025533	SINE/AluSx4	UTR3	DNAL1
chr4_67470460	4	67470460	67	4.74142544540096e-05	3.86956909234375e-07	0.832991423591962	0.00663788136781444	0.16032289382886	0.16032289382886	SINE/AluSq2	UTR3	CENPC
chr4_67470314	4	67470314	68	0.00808957790003249	6.78783042523275e-05	0.825583972892601	0.00676784724011682	0.159490723662997	0.159490723662997	SINE/AluSq2	UTR3	CENPC
chr4_67470327	4	67470327	68	0.0182580520542655	0.000153200281610403	0.815494527231367	0.00668326814909397	0.159410952283663	0.159410952283663	SINE/AluSq2	UTR3	CENPC
chr1_39682184	1	39682184	168	4.36521130893724e-26	6.49819471421093e-28	0.828804849276715	0.0121788406905108	0.159016310032777	0.159016310032777	-/-	UTR3	HPCAL4
chr11_47536684	11	47536684	53	0.186213658398127	0.00160795939369569	0.649023566071859	0.00544662582456421	0.157708190311754	0.157708190311754	SINE/AluSx	intronic	CELF1
chr9_109155896	9	109155896	173	0.0996167367551927	0.462224942458427	0.0498622689548034	0.231205481113595	0.157090570717982	0.157090570717982	LINE/L1MB8	intronic	FRRS1L
chr6_3022409	6	3022409	235	4.31700126385039e-13	9.63320464181991e-15	0.825472249169841	0.0182637980680308	0.156263952761686	0.156263952761686	SINE/AluJr	ncRNA_exonic	HTATSF1P2
chr16_7199747	16	7199747	415	1.38366728082482e-34	5.82918048050606e-36	0.812480761976784	0.0340751386251895	0.153444099398029	0.153444099398029	SINE/AluSx1	intronic	RBFOX1
chr4_157347915	4	157347915	46	0.623639497508923	0.0143642551621261	0.204849735916424	0.00456571220235769	0.152580799210169	0.152580799210169	SINE/AluSc	intronic	GRIA2
chr19_53988404	19	53988404	108	6.79184377125185e-07	5.80823177701535e-09	0.84780251638285	0.00710512444110986	0.145091674183431	0.145091674183431	SINE/AluSz	UTR3	CACNG8
chr7_97923498	7	97923498	113	9.10015088606025e-05	9.73411605738167e-07	0.845995846368184	0.00890431654543844	0.145007862165911	0.145007862165911	SINE/AluSz	ncRNA_intronic	CZ1P-ASNS
chr14_103684057	14	103684057	108	0.00868317068700785	7.05244298462776e-05	0.84001688937221	0.00667803847171948	0.144551377039216	0.144551377039216	SINE/AluSz6	intronic	KLC1
chr2_216208896	2	216208896	169	4.27393567189768e-74	6.54354271262531e-76	0.842985337594881	0.0127621433327393	0.144252519072377	0.144252519072377	SINE/AluSx1	intergenic	XRCC5;LINC01963
chr5_761858	5	761858	61	1.13015981172681e-13	5.75924772889864e-16	0.854787362968218	0.00421496342834386	0.140997673603326	0.140997673603326	NA	NA	NA
chr16_7174660	16	7174660	385	0.00495681702557174	0.000206997861310717	0.820038939056106	0.0341043287771701	0.140692917279841	0.140692917279841	SINE/AluSx1	intronic	RBFOX1
chr4_51887200	4	51887200	15	1.74652499455691e-11	0.858355798382852	4.08978591491206e-14	0.00187021239240758	0.139773989207233	0.139773989207233	SINE/AluSc	intronic	DCUN1D4
chr8_4963279	8	4963279	278	0.129043426684477	0.00377175083231407	0.707961103322588	0.0205539990140151	0.138669720146606	0.138669720146606	SINE/AluSz	intronic	CSMD1
chr2_216208870	2	216208870	169	1.86813707388492e-24	2.8601822007717e-26	0.849649778985963	0.0128709514752759	0.137479269538763	0.137479269538763	SINE/AluSx1	intergenic	XRCC5;LINC01963
chr5_146924907	5	146924907	143	0.025269348886216	0.000345313940326345	0.8261990408464	0.0111532478199541	0.137033048507103	0.137033048507103	LINE/L1PA7	intronic	PPP2R2B
chr13_107722393	13	107722393	188	0.00043070292605338	5.69082719161084e-06	0.851693790023341	0.011116576807825	0.136753239415589	0.136753239415589	-/-	intronic	FAM155A
chr16_7132186	16	7132186	287	8.37942380634246e-09	1.97723561963333e-10	0.848137392974918	0.0198809393064223	0.131981659141513	0.131981659141513	SINE/AluSx1	intronic	RBFOX1
chr19_13773260	19	13773260	124	0.0496842989833619	0.00137319433592031	0.79706008157812	0.0218994793150724	0.129982945787525	0.129982945787525	SINE/AluSz	UTR3	MRI1
chr2_216208180	2	216208180	170	0.00320901463289335	4.93343676027104e-05	0.856452751964035	0.0130395821667417	0.127249316868727	0.127249316868727	SINE/AluSz	intergenic	XRCC5;LINC01963
chr2_216208101	2	216208101	170	0.000254205176064343	3.90806931009928e-06	0.861737328860927	0.0131231935191829	0.124881364374515	0.124881364374515	SINE/AluSz	intergenic	XRCC5;LINC01963
chr12_19273143	12	19273143	144	1.72288875431986e-06	2.03134585447608e-08	0.865682992155523	0.0100824712261929	0.124232793416072	0.124232793416072	SINE/AluSx1	intronic	PLEKHA5
chr8_4941753	8	4941753	285	0.0273483143074528	0.00081288965994081	0.823300941780157	0.0243472563464579	0.124190597905991	0.124190597905991	SINE/AluJb	intronic	CSMD1
chr15_44566386	15	44566386	135	0.655258473344013	0.0366324296994534	0.175022724464023	0.00966127500263242	0.123425097489878	0.123425097489878	-/-	intronic	SPG11
chr16_7166171	16	7166171	402	5.68220721499062e-06	2.49503742845354e-07	0.839939523164307	0.0367581559873899	0.123296389137346	0.123296389137346	SINE/AluSz	intronic	RBFOX1
chr16_7165649	16	7165649	402	0.0131954851006122	0.000578757462364409	0.827210729739884	0.0361588249278967	0.122856202769242	0.122856202769242	SINE/AluSp	intronic	RBFOX1
chr12_19271334	12	19271334	146	5.26255807744604e-05	6.30775389178224e-07	0.867466381742526	0.0102753323751007	0.12220502952621	0.12220502952621	SINE/AluJb	intronic	PLEKHA5
chr5_146924914	5	146924914	143	0.133972713380821	0.00183078106848169	0.733393161499333	0.00990115590072531	0.12090218815064	0.12090218815064	LINE/L1PA7	intronic	PPP2R2B
chr6_99535311	6	99535311	80	1.94450468163938e-58	1.26847723417557e-60	0.87382013996391	0.00557967384644388	0.12060018618964	0.12060018618964	SINE/AluJr	intergenic	TSTD3;CCNC
chr2_216208198	2	216208198	170	0.0228762048624361	0.000351691478271873	0.843726887931305	0.0128509938864419	0.120194221841545	0.120194221841545	SINE/AluSz	intergenic	XRCC5;LINC01963
chr7_75029531	7	75029531	10	6.99661782401344e-06	9.38300638465503e-09	0.880138833878649	0.00106154172390837	0.118792618396612	0.118792618396612	NA	NA	NA
chr9_127327601	9	127327601	147	0.011788540889812	0.000277915590912963	0.850555239128944	0.0199344492583683	0.117443855131963	0.117443855131963	SINE/FLAM_C	intronic	GARNL3
chr9_112684445	9	112684445	146	0.0120498079098117	0.00014527121814918	0.863920880626624	0.0103017570859395	0.113582283159476	0.113582283159476	SINE/AluJr	UTR3	INIP
chr16_7166143	16	7166143	402	0.0058333648735122	0.000256141023066564	0.844059583099776	0.0369494613258815	0.112901449677764	0.112901449677764	SINE/AluSz	intronic	RBFOX1
chr4_102815165	4	102815165	92	7.18444066610955e-07	4.13269558287507e-09	0.88517391801007	0.0049819299054614	0.109843429507706	0.109843429507706	SINE/AluSq2	intronic	UBE2D3
chr11_132335316	11	132335316	105	9.17994017246854e-10	7.69002164410998e-12	0.884148717174803	0.00729794675521304	0.1085533351443	0.1085533351443	NA	NA	NA
chr7_44577236	7	44577236	138	2.09669203784693e-09	2.09272938881983e-11	0.883289276724693	0.00870819649199749	0.108002524665691	0.108002524665691	SINE/AluSz6	downstream	TMED4
chr4_21473852	4	21473852	307	4.55050872226896e-06	1.1799501268041e-07	0.87037138569459	0.0224616292097522	0.107162316591923	0.107162316591923	SINE/AluSx	intronic	KCNIP4
chr4_21486865	4	21486865	299	3.10798564092027e-07	7.90176673619488e-09	0.870868977560609	0.0220339434938368	0.107096760245223	0.107096760245223	SINE/AluJb	intronic	KCNIP4
chr4_21221360	4	21221360	262	0.0585213866953514	0.00120291273010497	0.816651641259286	0.0166794083526983	0.10694465096256	0.10694465096256	LTR/THE1C	intronic	KCNIP4
chr4_21486877	4	21486877	299	0.018866747274184	0.000479669642190496	0.852596436949162	0.0215699906125295	0.106487155521933	0.106487155521933	SINE/AluJb	intronic	KCNIP4
chr3_159366744	3	159366744	148	2.88058559334019e-16	7.19603533259181e-18	0.87249475834166	0.0216901110972289	0.105815130561108	0.105815130561108	NA	NA	NA
chr3_159366725	3	159366725	148	5.1461395432875e-37	1.2855650623804e-38	0.872633384765817	0.021693716377032	0.105672898857156	0.105672898857156	-/-	intronic	IQCJ-SCHIP1;SCHIP1
chr16_7195787	16	7195787	410	2.11096046473811e-11	8.80204542450156e-13	0.859291903771755	0.035724803651578	0.104983292554678	0.104983292554678	SINE/AluSx	intronic	RBFOX1
chr19_30009236	19	30009236	45	4.02410238131615e-21	1.90622636527931e-23	0.891248580936024	0.00411723042117948	0.104634188642796	0.104634188642796	NA	NA	NA
chr4_21486897	4	21486897	299	0.0284488551546376	0.000723285894194736	0.844847348350045	0.0213748586881415	0.104605651912981	0.104605651912981	SINE/AluJb	intronic	KCNIP4
chr12_56597557	12	56597557	38	0.193225545663138	0.00049264488499602	0.700741536396098	0.00168274233331223	0.103857530722456	0.103857530722456	NA	NA	NA
chr14_85544637	14	85544637	181	0.0012289716405426	3.74061037252824e-05	0.869360381360142	0.0263576312653871	0.103015609630203	0.103015609630203	-/-	intronic	FLRT2
chr3_159448828	3	159448828	128	0.00837512110173007	0.00189080112615114	0.723600570858515	0.163260110570571	0.102873396343033	0.102873396343033	SINE/MIRc	intronic	IQCJ-SCHIP1;SCHIP1
chr4_21473806	4	21473806	307	0.0393590500926896	0.00102058294978064	0.835313507651816	0.0215569884008083	0.102749870904906	0.102749870904906	SINE/AluSx	intronic	KCNIP4
chr2_216208937	2	216208937	170	0.199740983185067	0.00307193097706151	0.684490947057014	0.0104249070681677	0.10227123171269	0.10227123171269	SINE/AluSx1	intergenic	XRCC5;LINC01963
chr16_7199684	16	7199684	416	0.0190346268059819	0.000803089155640061	0.843007147886778	0.0354655903118441	0.101689545839756	0.101689545839756	SINE/AluSx1	intronic	RBFOX1
